[2024-12-23T05:38:17.229+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-23T05:38:17.253+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.266+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.268+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-23T05:38:17.290+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_and_insert_news_all_countries> on 2024-12-23 05:38:15.253727+00:00
[2024-12-23T05:38:17.299+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=50134) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-23T05:39:55.295+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-10 to 2023-02-11 for RS...
[2024-12-23T05:40:01.245+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:40:06.246+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-11 to 2023-02-12 for RS...
[2024-12-23T05:40:09.177+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:40:14.178+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-12 to 2023-02-13 for RS...
[2024-12-23T05:40:18.357+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:40:23.358+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-13 to 2023-02-14 for RS...
[2024-12-23T05:40:27.217+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:40:32.218+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-14 to 2023-02-15 for RS...
[2024-12-23T05:40:35.006+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
